FECHA;ESCENARIO;;SALA GAYARRE;;S.E.P.E;;SALA BALLET;;SALA DE ORQUESTA                                       SALA DE CORO;;OTRAS SALAS;
SEMANA Nº45   PROVISIONAL;;;;;;;;;;;;
;16.00-17.00h;Montaje Orquesta;;;16.00-19.00h;E.Piano CARMEN;17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 MANDARÍN / BARBAZUL;;;;;
;16.00-18.30h;Preparación Función;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
;19.30h;EL MANDARÍN MARAVILLOSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               EL CASTILLO DE BARBAZUL    03/05;;;;;;;;;;
Nov. 2025;;;;;;;;;;;;
;23.15-23.30h;Recogida y finalización actividad;;;;;;;;;;
Viernes;;;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;;;SALA DE ORQUESTA;;;
7;08.30-10.00h;Dossier Técnico MANDARÍN / BARBAZUL;;;;;;;11.00-14.00h;L.O Concierto CHINA (1);;
;10.00-10.25h;PAUSA TECNICA;;;;;;;16.00-19.00h;L.O Concierto CHINA (2);;
;10.00-10.30h;VISITA GENERAL;;;;;08.00-18.00h;CONFERENCIAS AUDIOVISUALES - ÓPERA EUROPA;;Mtro. Gimeno;;
;10.30-14.30h;Dossier Técnico MANDARÍN / BARBAZUL;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;11.00-14.00h;E. Musical Coro;;
;15.00-16.00h;Dossier Técnico MANDARÍN / BARBAZUL;;;;;;;16.00-19.00h;Formación Coro;;
;16.00-18.00h;Dossier Técnico MANDARÍN / BARBAZUL;;;16.00-19.00h;E.Piano CARMEN;;;;;;
;18.00-18.30h;PAUSA TECNICA;;;;;;;;;;
;18.30-22.00h;Dossier Técnico MANDARÍN / BARBAZUL;;;;;;;;;;
;22.00-22.30h;PAUSA TECNICA;;;;;;;;;;
Nov. 2025;22.30-23.15h;Dossier Técnico MANDARÍN / BARBAZUL;;;;;;;;;;
;23.15-23.30h;Recogida y finalización actividad;;;;;;;;;;
Sábado;;;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;;;RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 MANDARÍN / BARBAZUL;;SALA DE ORQUESTA;;SALÓN CARLOS;
8;08.30-10.00h;Dossier Técnico MANDARÍN / BARBAZUL;;;;;;;;;22.00h;MEET & GREET 
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.30-14.30h;Dossier Técnico MANDARÍN / BARBAZUL;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-16.00h;Preparación Función;;;;;;;;;;
;16.00-17.00h;Montaje Orquesta;;;;;;;;;;
;16.00-18.30h;Preparación Función;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
;19.30h;EL MANDARÍN MARAVILLOSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               EL CASTILLO DE BARBAZUL    04/05;;;;;;;;;;
Nov. 2025;;;;;;;;;;;;
;a 00.00h;Cambio a EVENTO;;;;;;;;;;
Domingo;01.00-08.00h;Cambio a EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                               CARMEN;;SALA DE ORQUESTA;;;
9;08.30-13.00h;Montaje de audio, luces & vídeo;;;;;;;08.00-22:00h;INTERCENTROS MELOMANO;;
;10.00-10.25h;PAUSA TECNICA técnicos TR;;;;;;;;;;
;13.00-14.30h;Montaje backline & suelo técnico Flamenco;;;;;;;;;;
;14.30-15.00h;PAUSA TECNICA;;;16.00-19.00h;E.Piano CARMEN;;;SALA DE CORO;;;
;15.00-18.30h;Ensayos;;;;;;;;;;
Nov. 2025;18.30-19.00h;Limpieza escenario;;;;;;;;;;
;19.00h;Apertura de Sala;;;;;;;;;;
;20.00h;CONCIERTO YERAI CORTÉS;;;;;;;;;;
;23.15-23.30h;Desmontaje EVENTO;;;;;;;;;;
SEMANA Nº46   PROVISIONAL;;;;;;;;;;;;
FECHA;ESCENARIO;;SALA GAYARRE;;S.E.P.E;;SALA BALLET;;SALA DE ORQUESTA                                       SALA DE CORO;;OTRAS SALAS;
Lunes;00.00-02.00h;Desmontaje EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CARMEN;;SALA DE ORQUESTA;;;
10;08.30-10.00h;Cambio a MANDARÍN / BARBAZUL;;;;;;;;;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;16.00-22.00h;DISPONIBLE EVENTOS POR CONFIRMAR;;
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.30-14.30h;Cambio a MANDARÍN / BARBAZUL;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;15.00-16.00h;Preparación Función;;;;;;;;;;
