FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET	,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
6,08.30-10.00h,Cambio a I MASNADIERI ,,,,,,,11.00-14.00h,L.O.  I MASNADIERI (4),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a I MASNADIERI ,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,12.00-15.00h,E. Musical CORO,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-16.30h,Montaje orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-17.00h,Preparación ensayo + Limpieza,,,,,,,,,,
,17.00-20.00h,E.Italiana Ópera en Concierto I MASNADIERI                                                                                         Concha Acústica (por confirmar),,,,,,,,,,
,,,,,,,,,,,,
,21.00-22.00h,Ajustes Técnicos I MASNADIERI,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,22.30-23.15h,Ajustes Técnicos I MASNADIERI,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,,,SALA DE ORQUESTA,,,
7,08.30-10.00h,Ajustes Técnicos I MASNADIERI,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Ajustes Técnicos I MASNADIERI,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Ajustes Técnicos I MASNADIERI,,,,,,,,,,
,16.00-18.00h,Preparación ensayo + Limpieza,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,19.00h,E.General Ópera en Concierto I MASNADIERI                                                                     Concha Acústica (por confirmar),,,,,,,,,,
,,,,,,,,,,,,
,21.00-22.00h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
Feb. 2026   ,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
,22.30-00.00,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
Domingo,00.00-07.00h,Cambio a ENEMIGO DEL PUEBLO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
8,08.30-10.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,,,,,,,,
,16.00-18.00h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,22.30-23.15h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº07   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET	,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
9,08.30-10.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,,,,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-15.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-18.00h,Preparación ensayo + Limpieza,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,19.00h,E.General ENEMIGO DEL PUEBLO,,,,,,,,,,
,,,,,,,,,,,,
,a 22.00h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,22.30-23.15h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
10,08.30-10.00h,Cambio a I MASNADIERI,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a I MASNADIERI,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h, Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ÓPERA EN CONCIERTO: I  MASNADIERI 1/2                                  Concha Acústica a confirmar   ,,,,,,,,,,
Feb. 2026   ,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
11,08.30-10.00h,Cambio a ARIADNA Y BARBAZUL,,,,,,,09.00-21.00h,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          FUNDACIÓN BAREMBOIM-SAID,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a ARIADNA Y BARBAZUL,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,SALA DE CORO,,,
,15.00-16.00h,Preparación Función,,,,,,,18.30-19.30h, Vocalización CORO,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-18.30h,Preparación Función,19.00-21.00h,CURSO:,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,Ópera & Shakespeare,,,,,,,,
,19.30h,ARIADNA Y BARBAZUL   04/06,,,,,,,,,,
Feb. 2026   ,,,,,,,,,,,,
,a 23.30h,Cambio a EL ENEMIGO DEL PUEBLO,,,,,,,,,,
