FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS
SEMANA Nº27   PROVISIONAL,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,
Domingo,00.00-07.00h,Cambio a EVENTO,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,,,SALA DE ORQUESTA,,
26,"DISPONIBLE EVENTO             
ESCENARIO COMPLETO",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,
,,,,,,,,,,,
Jul. 2026,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,
SEMANA Nº31   PROVISIONAL,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,,,SALA DE ORQUESTA,,
27,"DISPONIBLE EVENTO             
ESCENARIO COMPLETO",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,
,,,,,,,,,,,
Jul. 2026,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,
Martes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,,,SALA DE ORQUESTA,,
28,"DISPONIBLE EVENTO             
ESCENARIO COMPLETO",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,
,,,,,,,,,,,
Jul. 2026,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,
Miércoles,00.00-07.00h,Cambio a EVENTO,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,,,SALA DE ORQUESTA,,
29,"DISPONIBLE EVENTO             
ESCENARIO COMPLETO",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,
,,,,,,,,,,,
Jul. 2026,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,
Jueves,00.00-07.00h,Cambio a EVENTO,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,,,SALA DE ORQUESTA,,
30,"DISPONIBLE EVENTO             
ESCENARIO COMPLETO",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,
,,,,,,,,,,,
Jul. 2026,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,
Viernes,00.00-07.00h,Desmontaje EVENTO,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,,,SALA DE ORQUESTA,,
31,08.30-10.00h,Recogida Fin de Temporada,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,
,10.30-14.30h,Recogida Fin de Temporada,,,,,,,SALA DE CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Recogida Fin de Temporada,,,,,,,,,
,16.00-18.30h,Recogida Fin de Temporada,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,
,19.00-22.00h,Recogida Fin de Temporada,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,
Jul. 2026,22.30-23.15h,Recogida Fin de Temporada,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,
Sábado,,,,,,,,,,,
,,,,,,,,,SALA DE ORQUESTA,,
1,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,
,,,,,,,,,,,
Ago. 2026,,,,,,,,,,,
,,,,,,,,,,,
Domingo,,,,,,,,,,,
,,,,,,,,,SALA DE ORQUESTA,,
,,,,,,,,,,,
,,,,,,,,,,,
2,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,
,,,,,,,,,,,
Ago. 2026,,,,,,,,,,,
