FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS
,10.00-10.30h,VISITA GENERAL,,,,,,,,,
,10.30-14.30h,Montaje Luces OTELLO,,,,,,,SALA DE CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Montaje Luces OTELLO,,,,,,,,,
,15.30-18.00h,Montaje OTELLO,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,
,18.30-22.00h,Montaje OTELLO,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,
Ago. 2025,22.30-23.15h,Montaje OTELLO,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,
Domingo,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,SALA DE ORQUESTA,,
31,08.30-10.00h,Montaje  OTELLO,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,
,10.30-14.30h,Montaje  OTELLO,,,,,,,SALA DE CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Montaje  OTELLO,,,,,,,,,
,15.30-18.00h,Montaje OTELLO,,,16.00-21.00h,E.Piano OTELLO,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,
,18.30-22.00h,Montaje OTELLO,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,
Ago. 2025,22.30-23.15h,Montaje OTELLO,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,
