FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET	,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº10   PROVISIONAL,,,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,16.00-17.00h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.Conjunto SUEÑO DE UNA NOCHE DE VERANO (2),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026   ,22.30-23.15h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
6,08.30-10.00h,Preparación ensayo,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,SALA DE CORO,,,
,11.30-14.30h,E.Conjunto SUEÑO DE UNA NOCHE DE VERANO (3),,,,,,,11.00-14.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,16.00-17.00h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.Conjunto SUEÑO DE UNA NOCHE DE VERANO (4),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026   ,22.30-23.15h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,11.30-13.30h,CURSO:,,,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
7,08.30-10.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,16.00-18.00h,REIMAGINANDO EL BALLET,,,,,,,,
,08.30-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-15.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.30h,Limpieza,,,,,,,,,,
,18.00h,E.Pregeneral                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,,,,,,,,,,,,
,a 22.00h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026   ,22.30-23.15h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,10.00-14.00h,CURSO:,11.00-14.00h,E. Piano                    NOVIA VENDIDA,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
8,08.30-10.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,,REIMAGINANDO EL BALLET,,,,,,,,
,08.30-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-15.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-17.00h,Preparación ensayo,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,17.00-17.30h,Limpieza,,,,,,,,,,
,18.00h,E.General                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,,,,,,,,,,,,
,a 22.00h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026   ,22.30-23.15h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº11   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,,,SALA DE ORQUESTA,,,
9,08.30-10.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,08.30-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-15.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-18.00h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026   ,22.30-23.15h,Ajustes Técnicos SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         NOVIA VENDIDA,,,,CINE - 1,
10,08.30-10.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,15.00-17.30h,Universidad a Escena
,08.30-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-15.00h,E.Luces SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,SUEÑO DE UNA NOCHE DE VERANO    01/06,,,,,,,,,,
Mar. 2026   ,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Miércoles,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,RESERVADA                                                                                             NOVIA VENDIDA,,SALA DE ORQUESTA,,,
11,08.30-10.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,08.00-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,16.00-18.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026,22.30-23.15h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,a 00.00h,Desmontaje EVENTO,,,,,,,,,,
Jueves,00.00-07.00h,Desmontaje EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         NOVIA VENDIDA,,SALA DE ORQUESTA,,,
12,08.30-10.00h,Cambio a SUEÑO DE UNA NOCHE DE VERANO,,,,,,,11.00-14.00h,L.O.  VIÑAS (1),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a SUEÑO DE UNA NOCHE DE VERANO,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,SUEÑO DE UNA NOCHE DE VERANO    02/06,,,,,,,,,,
Mar. 2026   ,,,,,,,,,,,,
,a 00.00h,Cambio a evento,,,,,,,,,,
Viernes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,,,SALA DE ORQUESTA,,,
13,DISPONIBLE EVENTO                                                                 ESCENARIO COMPLETO,,,,,,,,11.00-14.00h,L.O.  VIÑAS (2),,
,,,,,,,,,16.00-19.00h,L.O.  VIÑAS (3),,
,,,,,,,,,,,,
,,,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,,,,,,,,,,,,
Mar. 2026,,,,,,,,,,,,
,a 00.00h,Desmontaje EVENTO,,,,,,,,,,
Sábado,00.00-07.00h,Desmontaje EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         NOVIA VENDIDA,,SALA DE ORQUESTA,,,
14,08.30-10.00h,Cambio a SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a SUEÑO DE UNA NOCHE DE VERANO,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,SUEÑO DE UNA NOCHE DE VERANO    03/06,,,,,,,,,,
Mar. 2026   ,,,,,,,,,,,,
,a 00.00h,Cambio a CONCHITA,,,,,,,,,,
Domingo,00.00-07.00h,Cambio a CONCHITA,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,RESERVADA                                                                              NOVIA VENDIDA,,SALA DE ORQUESTA,,,
15,08.15-09.30h,Montaje Concierto Viñas,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          CORO MÚSICA VIVA,,,
,11.15-11.30h,Limpieza,,,,,,,,,,
,12.00h, CONCIERTO VIÑAS,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Ensayo,,,,,,,,,,
,XX.XX-XX.XXh,Preparación Ensayo + Limpieza,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,XX.XX-XX.XXh,Ensayo general concierto,,,,,,,,,,
,a 18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ÓPERA EN CONCIERTO: ARMIDE 1/1  ,,,,,,,,,,
Mar. 2026,,,,,,,,,,,,
,a 00.00h,Desmontaje concierto,,,,,,,,,,
SEMANA Nº12   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Cambio a SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,RESERVADA                                                                              NOVIA VENDIDA,,SALA DE ORQUESTA,,,
16,08.30-10.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          CORO MÚSICA VIVA,,,
,08.00-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,11.00-14.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.00-16.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,16.00-18.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026,22.30-23.15h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         NOVIA VENDIDA,,SALA DE ORQUESTA,,,
17,08.30-10.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          CORO MÚSICA VIVA,,,
,08.00-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,11.00-14.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E. Piano                    NOVIA VENDIDA,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,SUEÑO DE UNA NOCHE DE VERANO    04/06,,,,,,,,,,
Mar. 2026   ,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Miércoles,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E. Piano                    NOVIA VENDIDA,09.00 - 18.00h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RESERVADA AUDICIONES OSM,,SALA DE ORQUESTA,,SALÓN DE BAILE,
18,08.30-10.00h,Dossier Tecnico SUEÑO DE UNA NOCHE DE VERANO,,,,,,,09.00-18.00h,AUDICIONES OSM,20.00h,Flamenco Real 6        1/3
,08.00-14.30h,Montaje -16  NOVIA VENDIDA,,,,,,,,,,Juan de Juan & La Lupi
