SEMANA Nº01   PROVISIONAL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
SEMANA Nº01   PROVISIONAL,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                   ARIADNA Y BARBAZUL,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
4,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,17.00-18.00h,Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,,,,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,18.00h,CARMEN    16/16  REP. A,,,,,,,,,,
,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
SEMANA Nº02   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,07.00-08.00h,Cambio a EVENTO,,,,,,,,,,
,CONCIERTO AYUNTAMIENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ESCENARIO COMPLETO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Foso Pequeño + Concha Acustica + Orquesta en Escenario,,,,11.00-14.00h,E.Piano                              ARIADNE Y BARBAZUL,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,CABALGATA REYES,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
,15.30-18.00h,Desmontaje CARMEN,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,18.30-22.00h,Desmontaje CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Desmontaje CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
6,08.15-10.00h,Desmontaje CARMEN,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Desmontaje CARMEN,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Desmontaje CARMEN,,,,,,,,,,
,15.30-18.00h,Desmontaje CARMEN,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Desmontaje CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Desmontaje CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                       ARIADNE Y BARBAZUL,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
7,08.15-10.00h,Montaje Luces ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje Luces ARIADNA Y BARBAZUL,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,E. Musical CORO,,
,15.00-16.00h,Montaje Luces ARIADNA Y BARBAZUL,,,,,,,,,,
